date,state,sentiment
20200320,AK,0
20200321,AK,0
20200322,AK,0
20200323,AK,0
20200324,AK,0
20200325,AK,0
20200326,AK,0
20200327,AK,0
20200328,AK,0
20200330,AK,0
20200331,AK,0
20200401,AK,0
20200402,AK,0
20200403,AK,0
20200404,AK,0
20200405,AK,0
20200406,AK,0
20200407,AK,0
20200408,AK,0
20200409,AK,0
20200410,AK,0
20200411,AK,0
20200412,AK,0
20200413,AK,0
20200414,AK,0
20200415,AK,0
20200416,AK,0
20200417,AK,0
20200418,AK,0
20200419,AK,0
20200420,AK,0
20200421,AK,0
20200422,AK,0
20200423,AK,0
20200424,AK,0
20200425,AK,0
20200426,AK,0
20200427,AK,0
20200428,AK,0
20200429,AK,0
20200430,AK,0
20200501,AK,0
20200502,AK,0
20200503,AK,0
20200504,AK,0
20200505,AK,0
20200506,AK,0
20200507,AK,0
20200508,AK,0
20200509,AK,0
20200510,AK,0
20200511,AK,0
20200512,AK,0
20200513,AK,0
20200514,AK,0
20200515,AK,0
20200516,AK,0
20200517,AK,0
20200518,AK,0
20200519,AK,0
20200520,AK,0
20200521,AK,0
20200522,AK,0
20200523,AK,0
20200524,AK,0
20200525,AK,0
20200526,AK,0
20200527,AK,0
20200528,AK,0
20200529,AK,0
20200530,AK,0
20200531,AK,0
20200601,AK,0
20200602,AK,0
20200603,AK,0
20200604,AK,0
20200605,AK,0
20200606,AK,0
20200607,AK,0
20200608,AK,0
20200609,AK,0
20200610,AK,0
20200611,AK,0
20200612,AK,0
20200613,AK,0
20200614,AK,0
20200615,AK,0
20200616,AK,0
20200617,AK,0
20200618,AK,0
20200619,AK,0
20200620,AK,0
20200621,AK,0
20200622,AK,0
20200623,AK,0
20200624,AK,0
20200625,AK,0
20200626,AK,0
20200627,AK,0
20200628,AK,0
20200629,AK,0
20200630,AK,0
20200701,AK,0
20200702,AK,0
20200703,AK,0
20200704,AK,0
20200705,AK,0
20200706,AK,0
20200707,AK,0
20200708,AK,0
20200709,AK,0
20200710,AK,0
20200711,AK,0
20200712,AK,0
20200713,AK,0
20200714,AK,0
20200715,AK,0
20200716,AK,0
20200717,AK,0
20200718,AK,0
20200719,AK,0
20200720,AK,0
20200721,AK,0
20200722,AK,0
20200723,AK,0
20200724,AK,0
20200725,AK,0
20200726,AK,0
20200727,AK,0
20200728,AK,0
20200729,AK,0
20200730,AK,0
20200731,AK,0
20200801,AK,0
20200802,AK,0
20200803,AK,0
20200804,AK,0
20200805,AK,0
20200806,AK,0
20200807,AK,0
20200808,AK,0
20200809,AK,0
20200810,AK,0
20200811,AK,0
20200812,AK,0
20200813,AK,0
20200814,AK,0
20200815,AK,0
20200816,AK,0
20200817,AK,0
20200818,AK,0
20200819,AK,0
20200820,AK,0
20200821,AK,0
20200822,AK,0
20200823,AK,0
20200824,AK,0
20200825,AK,0
20200826,AK,0
20200827,AK,0
20200828,AK,0
20200829,AK,0
20200830,AK,0
20200831,AK,0
20200901,AK,0
20200902,AK,0
20200903,AK,0
20200904,AK,0
20200905,AK,0
20200906,AK,0
20200907,AK,0
20200908,AK,0
20200909,AK,0
20200910,AK,0
20200911,AK,0
20200912,AK,0
20200913,AK,0
20200914,AK,0
20200915,AK,0
20200916,AK,0
20200917,AK,0
20200918,AK,0
20200919,AK,0
20200920,AK,0
20200921,AK,0
20200922,AK,0
20200923,AK,0
